collection_id,loan_id,contact_date,contact_mode,response,promise_to_pay_date,resolved
C-FK-8001,L-FK-2024-1005,2024-07-22,WhatsApp,No Response,,False
C-FK-8002,L-FK-2024-1005,2024-08-02,SMS,No Response,,False
C-FK-8003,L-FK-2024-1005,2024-08-07,Email,Already Paid,,False
C-FK-8004,L-FK-2024-1005,2024-08-06,SMS,No Response,,False
C-FK-8005,L-FK-2024-1005,2024-09-04,Email,Already Paid,,False
C-FK-8006,L-FK-2024-1006,2024-06-08,Email,Promise to Pay,2024-06-14,False
C-FK-8007,L-FK-2024-1007,2024-06-23,Field Visit,Disputed,,False
C-FK-8008,L-FK-2024-1007,2024-06-29,Email,Requested Extension,,False
C-FK-8009,L-FK-2024-1013,2024-08-02,Email,Promise to Pay,2024-08-12,False
C-FK-8010,L-FK-2024-1013,2024-08-14,Field Visit,Promise to Pay,2024-08-25,False
C-FK-8011,L-FK-2024-1013,2024-08-22,Email,Already Paid,,False
C-FK-8012,L-FK-2024-1014,2024-06-18,WhatsApp,No Response,,False
C-FK-8013,L-FK-2024-1014,2024-07-01,WhatsApp,Already Paid,,False
C-FK-8014,L-FK-2024-1014,2024-07-16,Email,Disputed,,False
C-FK-8015,L-FK-2024-1014,2024-07-24,Field Visit,Promise to Pay,2024-08-02,False
C-FK-8016,L-FK-2024-1014,2024-08-13,Email,Already Paid,,False
C-FK-8017,L-FK-2024-1015,2024-07-23,Email,Promise to Pay,2024-08-06,True
C-FK-8018,L-FK-2024-1015,2024-08-06,SMS,No Response,,False
C-FK-8019,L-FK-2024-1015,2024-08-02,Field Visit,Disputed,,False
C-FK-8020,L-FK-2024-1015,2024-08-13,SMS,No Response,,False
C-FK-8021,L-FK-2024-1018,2025-03-04,WhatsApp,No Response,,False
C-FK-8022,L-FK-2024-1018,2025-03-08,Field Visit,No Response,,False
C-FK-8023,L-FK-2024-1018,2025-03-20,Email,Already Paid,,False
C-FK-8024,L-FK-2024-1018,2025-03-19,SMS,Disputed,,False
C-FK-8025,L-FK-2024-1021,2025-01-21,Phone Call,No Response,,False
C-FK-8026,L-FK-2024-1021,2025-02-03,Email,Already Paid,,False
C-FK-8027,L-FK-2024-1021,2025-02-06,SMS,Already Paid,,False
C-FK-8028,L-FK-2024-1021,2025-02-17,Phone Call,No Response,,False
C-FK-8029,L-FK-2024-1021,2025-02-18,SMS,No Response,,False
C-FK-8030,L-FK-2024-1022,2024-11-12,Email,Already Paid,,False
C-FK-8031,L-FK-2024-1022,2024-11-22,Phone Call,No Response,,False
C-FK-8032,L-FK-2024-1022,2024-12-04,SMS,Promise to Pay,2024-12-18,True
C-FK-8033,L-FK-2024-1025,2025-02-22,Field Visit,Promise to Pay,2025-02-27,True
C-FK-8034,L-FK-2024-1025,2025-02-26,Email,Promise to Pay,2025-03-05,False
C-FK-8035,L-FK-2024-1025,2025-03-04,Phone Call,No Response,,False
C-FK-8036,L-FK-2024-1025,2025-04-02,SMS,Disputed,,False
C-FK-8037,L-FK-2024-1027,2024-12-20,Field Visit,Promise to Pay,2025-01-03,False
C-FK-8038,L-FK-2024-1027,2024-12-26,Phone Call,Already Paid,,False
C-FK-8039,L-FK-2024-1027,2025-01-15,Phone Call,Requested Extension,,False
C-FK-8040,L-FK-2024-1027,2025-01-16,Email,Disputed,,False
C-FK-8041,L-FK-2024-1028,2024-07-09,Email,No Response,,False
C-FK-8042,L-FK-2024-1032,2024-11-16,SMS,Disputed,,False
C-FK-8043,L-FK-2024-1032,2024-11-22,Phone Call,No Response,,False
C-FK-8044,L-FK-2024-1034,2025-01-02,SMS,Disputed,,False
C-FK-8045,L-FK-2024-1034,2025-01-15,SMS,No Response,,False
C-FK-8046,L-FK-2024-1034,2025-01-10,Email,Promise to Pay,2025-01-24,False
C-FK-8047,L-FK-2024-1034,2025-02-04,WhatsApp,No Response,,False
C-FK-8048,L-FK-2024-1036,2025-01-02,Field Visit,Promise to Pay,2025-01-14,False
C-FK-8049,L-FK-2024-1036,2025-01-11,Phone Call,Already Paid,,False
C-FK-8050,L-FK-2024-1036,2025-01-14,SMS,Promise to Pay,2025-01-18,False
C-FK-8051,L-FK-2024-1042,2024-11-13,Phone Call,Disputed,,False
C-FK-8052,L-FK-2024-1045,2024-12-07,WhatsApp,Promise to Pay,2024-12-11,True
C-FK-8053,L-FK-2024-1045,2024-12-20,WhatsApp,Requested Extension,,False
C-FK-8054,L-FK-2024-1045,2024-12-13,SMS,No Response,,False
C-FK-8055,L-FK-2024-1045,2025-01-03,Field Visit,Disputed,,False
C-FK-8056,L-FK-2024-1050,2025-01-06,Field Visit,Requested Extension,,False
C-FK-8057,L-FK-2024-1050,2025-01-11,Phone Call,Disputed,,False
C-FK-8058,L-FK-2024-1050,2025-01-30,Email,Disputed,,False
C-FK-8059,L-FK-2024-1050,2025-02-14,WhatsApp,Promise to Pay,2025-02-22,False
C-FK-8060,L-FK-2024-1052,2024-06-15,Field Visit,No Response,,False
C-FK-8061,L-FK-2024-1052,2024-06-27,Email,Already Paid,,False
C-FK-8062,L-FK-2024-1052,2024-07-07,Phone Call,Promise to Pay,2024-07-18,True
C-FK-8063,L-FK-2024-1052,2024-07-03,Field Visit,No Response,,False
C-FK-8064,L-FK-2024-1055,2024-06-17,SMS,Already Paid,,False
C-FK-8065,L-FK-2024-1056,2024-10-10,SMS,Promise to Pay,2024-10-18,False
C-FK-8066,L-FK-2024-1056,2024-10-15,SMS,Already Paid,,False
C-FK-8067,L-FK-2024-1056,2024-11-05,SMS,No Response,,False
C-FK-8068,L-FK-2024-1056,2024-11-21,Email,Requested Extension,,False
C-FK-8069,L-FK-2024-1056,2024-12-05,SMS,Disputed,,False
C-FK-8070,L-FK-2024-1059,2024-11-30,Field Visit,No Response,,False
C-FK-8071,L-FK-2024-1059,2024-12-09,Phone Call,Disputed,,False
C-FK-8072,L-FK-2024-1059,2024-12-12,WhatsApp,Disputed,,False
C-FK-8073,L-FK-2024-1061,2025-01-06,SMS,No Response,,False
C-FK-8074,L-FK-2024-1061,2025-01-19,Field Visit,Promise to Pay,2025-01-31,True
C-FK-8075,L-FK-2024-1070,2025-02-23,Phone Call,No Response,,False
C-FK-8076,L-FK-2024-1070,2025-03-05,SMS,No Response,,False
C-FK-8077,L-FK-2024-1070,2025-03-01,SMS,Promise to Pay,2025-03-07,False
C-FK-8078,L-FK-2024-1072,2024-09-10,Email,Promise to Pay,2024-09-21,False
C-FK-8079,L-FK-2024-1072,2024-09-17,Email,Promise to Pay,2024-10-01,False
C-FK-8080,L-FK-2024-1072,2024-09-20,SMS,Requested Extension,,False
C-FK-8081,L-FK-2024-1072,2024-10-01,Field Visit,Disputed,,False
C-FK-8082,L-FK-2024-1072,2024-10-20,Email,Promise to Pay,2024-10-27,True
C-FK-8083,L-FK-2024-1073,2025-04-26,Email,Already Paid,,False
C-FK-8084,L-FK-2024-1075,2025-01-31,Field Visit,Already Paid,,False
C-FK-8085,L-FK-2024-1075,2025-02-12,SMS,Already Paid,,False
C-FK-8086,L-FK-2024-1076,2024-09-23,Phone Call,Already Paid,,False
C-FK-8087,L-FK-2024-1076,2024-09-30,Field Visit,Requested Extension,,False
C-FK-8088,L-FK-2024-1076,2024-10-03,SMS,Requested Extension,,False
C-FK-8089,L-FK-2024-1076,2024-10-14,Email,Already Paid,,False
