loan_id,user_id,loan_amount,interest_rate,disbursement_date,tenure_months,loan_purpose,processing_fee,loan_status
L-FK-2024-1001,U-10155,10450,20.7,2025-01-26,12,Electronics Purchase,133.02,Closed
L-FK-2024-1002,U-10024,30440,17.3,2024-12-22,3,Education,374.27,Closed
L-FK-2024-1003,U-10023,18280,15.4,2024-12-22,3,Wedding,428.19,Closed
L-FK-2024-1004,U-10145,12200,19.6,2024-09-03,9,Vehicle Repair,234.44,Closed
L-FK-2024-1005,U-10062,39720,21.6,2024-06-18,9,Utility Bills,499.2,NPA
L-FK-2024-1006,U-10081,18410,14.2,2024-04-15,9,Wedding,206.53,NPA
L-FK-2024-1007,U-10073,39760,19.4,2024-04-16,12,Wedding,694.63,NPA
L-FK-2024-1008,U-10115,39860,15.0,2024-10-25,6,Medical Emergency,576.44,Closed
L-FK-2024-1009,U-10062,10000,18.9,2024-07-14,6,Travel,151.03,Closed
L-FK-2024-1010,U-10001,18300,20.1,2024-10-22,12,Vehicle Repair,218.9,Closed
L-FK-2024-1011,U-10108,29660,15.0,2024-06-02,6,Education,415.6,Closed
L-FK-2024-1012,U-10172,7600,17.8,2024-11-01,6,Travel,104.3,Closed
L-FK-2024-1013,U-10133,35290,14.8,2024-06-21,6,Debt Consolidation,616.66,NPA
L-FK-2024-1014,U-10006,25450,19.0,2024-05-17,6,Debt Consolidation,615.34,NPA
L-FK-2024-1015,U-10161,11770,20.1,2024-04-26,9,Debt Consolidation,167.37,NPA
L-FK-2024-1016,U-10018,15100,23.1,2024-11-07,3,Travel,181.34,Closed
L-FK-2024-1017,U-10163,19920,20.4,2025-01-17,3,Vehicle Repair,367.07,Closed
L-FK-2024-1018,U-10083,14620,21.0,2025-01-07,6,Utility Bills,207.54,NPA
L-FK-2024-1019,U-10102,7680,20.4,2024-09-21,3,Education,141.06,Closed
L-FK-2024-1020,U-10159,12170,20.4,2024-04-21,9,Medical Emergency,129.97,Closed
L-FK-2024-1021,U-10120,25080,18.9,2024-12-20,6,Travel,303.39,NPA
L-FK-2024-1022,U-10155,9950,20.4,2024-09-01,9,Vehicle Repair,188.11,NPA
L-FK-2024-1023,U-10084,30050,16.3,2024-11-30,12,Travel,668.2,Closed
L-FK-2024-1024,U-10124,39660,16.3,2024-04-14,6,Utility Bills,751.7,Closed
L-FK-2024-1025,U-10125,34780,14.2,2024-12-02,12,Electronics Purchase,436.76,NPA
L-FK-2024-1026,U-10168,10390,15.0,2025-01-19,12,Business Expense,251.68,Closed
L-FK-2024-1027,U-10186,5000,15.7,2024-10-29,6,Vehicle Repair,101.79,Defaulted
L-FK-2024-1028,U-10023,35030,17.4,2024-05-02,12,Wedding,721.15,NPA
L-FK-2024-1029,U-10146,29880,15.9,2024-10-10,12,Debt Consolidation,439.42,Closed
L-FK-2024-1030,U-10037,29900,20.1,2024-08-14,9,Business Expense,572.62,Closed
L-FK-2024-1031,U-10015,15120,19.3,2024-08-31,6,Debt Consolidation,326.1,Closed
L-FK-2024-1032,U-10149,18040,21.4,2024-08-19,6,Vehicle Repair,258.28,NPA
L-FK-2024-1033,U-10079,19950,20.1,2024-06-14,12,Home Repair,286.42,Closed
L-FK-2024-1034,U-10036,18000,19.5,2024-12-02,12,Wedding,237.78,NPA
L-FK-2024-1035,U-10127,30260,14.5,2025-01-26,6,Vehicle Repair,411.21,Closed
L-FK-2024-1036,U-10162,12200,18.3,2024-10-29,3,Home Repair,182.44,Defaulted
L-FK-2024-1037,U-10153,40340,14.0,2025-01-07,3,Electronics Purchase,995.13,Closed
L-FK-2024-1038,U-10140,40450,15.9,2024-07-12,6,Education,863.15,Closed
L-FK-2024-1039,U-10032,15210,17.6,2024-05-16,3,Vehicle Repair,300.92,Closed
