repayment_id,loan_id,emi_number,due_date,payment_date,amount_due,amount_paid,payment_mode,days_late
R-FK-5001,L-FK-2024-1001,1,2025-02-25,2025-02-27,971.53,971.53,Upi,2.0
R-FK-5002,L-FK-2024-1001,2,2025-03-27,2025-04-13,971.53,971.53,Net Banking,17.0
R-FK-5003,L-FK-2024-1001,3,2025-04-26,2025-04-18,971.53,971.53,Auto-Debit,-8.0
R-FK-5004,L-FK-2024-1001,4,2025-05-26,2025-05-19,971.53,971.53,Upi,-7.0
R-FK-5005,L-FK-2024-1001,5,2025-06-25,2025-06-26,971.53,971.53,Auto-Debit,1.0
R-FK-5006,L-FK-2024-1001,6,2025-07-25,2025-07-27,971.53,971.53,Upi,2.0
R-FK-5007,L-FK-2024-1001,7,2025-08-24,2025-08-31,971.53,971.53,Debit Card,7.0
R-FK-5008,L-FK-2024-1001,8,2025-09-23,2025-09-25,971.53,971.53,Cash,2.0
R-FK-5009,L-FK-2024-1001,9,2025-10-23,2025-10-24,971.53,971.53,Debit Card,1.0
R-FK-5010,L-FK-2024-1001,10,2025-11-22,2025-11-23,971.53,971.53,Cash,1.0
R-FK-5011,L-FK-2024-1001,11,2025-12-22,2025-12-24,971.53,971.53,Upi,2.0
R-FK-5012,L-FK-2024-1001,12,2026-01-21,2026-01-22,971.53,971.53,Net Banking,1.0
R-FK-5013,L-FK-2024-1002,1,2025-01-21,2025-01-20,10440.62,10440.62,Net Banking,-1.0
R-FK-5014,L-FK-2024-1002,2,2025-02-20,2025-02-22,10440.62,10440.62,Upi,2.0
R-FK-5015,L-FK-2024-1002,3,2025-03-22,2025-03-24,10440.62,10440.62,Net Banking,2.0
R-FK-5016,L-FK-2024-1003,1,2025-01-21,2025-02-11,6250.39,6250.39,Upi,21.0
R-FK-5017,L-FK-2024-1003,2,2025-02-20,2025-02-22,6250.39,6250.39,Cash,2.0
R-FK-5018,L-FK-2024-1003,3,2025-03-22,2025-03-22,6250.39,6250.39,Debit Card,0.0
R-FK-5019,L-FK-2024-1004,1,2024-10-03,2024-10-15,1468.65,591.15,Debit Card,12.0
R-FK-5020,L-FK-2024-1004,2,2024-11-02,2024-10-24,1468.65,1468.65,Debit Card,-9.0
R-FK-5021,L-FK-2024-1004,3,2024-12-02,2024-12-03,1468.65,1468.65,Upi,1.0
R-FK-5022,L-FK-2024-1004,4,2025-01-01,2025-01-01,1468.65,1468.65,Net Banking,0.0
R-FK-5023,L-FK-2024-1004,5,2025-01-31,2025-02-12,1468.65,749.59,Cash,12.0
R-FK-5024,L-FK-2024-1004,6,2025-03-02,2025-03-02,1468.65,1468.65,Upi,0.0
R-FK-5025,L-FK-2024-1004,7,2025-04-01,2025-04-03,1468.65,1468.65,Cash,2.0
R-FK-5026,L-FK-2024-1004,8,2025-05-01,2025-05-07,1468.65,1468.65,Debit Card,6.0
R-FK-5027,L-FK-2024-1004,9,2025-05-31,2025-05-22,1468.65,1468.65,Upi,-9.0
R-FK-5028,L-FK-2024-1005,1,2024-07-18,2099-12-31,4819.98,0.0,Not Paid,181.0
R-FK-5029,L-FK-2024-1005,2,2024-08-17,2099-12-31,4819.98,0.0,Not Paid,181.0
R-FK-5030,L-FK-2024-1005,3,2024-09-16,2099-12-31,4819.98,0.0,Not Paid,181.0
R-FK-5031,L-FK-2024-1005,4,2024-10-16,2099-12-31,4819.98,0.0,Not Paid,181.0
R-FK-5032,L-FK-2024-1005,5,2024-11-15,2099-12-31,4819.98,0.0,Not Paid,181.0
R-FK-5033,L-FK-2024-1005,6,2024-12-15,2099-12-31,4819.98,0.0,Not Paid,181.0
R-FK-5034,L-FK-2024-1005,7,2025-01-14,2099-12-31,4819.98,0.0,Not Paid,181.0
R-FK-5035,L-FK-2024-1005,8,2025-02-13,2099-12-31,4819.98,0.0,Not Paid,181.0
R-FK-5036,L-FK-2024-1005,9,2025-03-15,2099-12-31,4819.98,0.0,Not Paid,181.0
R-FK-5037,L-FK-2024-1006,1,2024-05-15,2099-12-31,2168.48,0.0,Not Paid,181.0
R-FK-5038,L-FK-2024-1006,2,2024-06-14,2099-12-31,2168.48,0.0,Not Paid,181.0
R-FK-5039,L-FK-2024-1006,3,2024-07-14,2099-12-31,2168.48,0.0,Not Paid,181.0
R-FK-5040,L-FK-2024-1006,4,2024-08-13,2099-12-31,2168.48,0.0,Not Paid,181.0
R-FK-5041,L-FK-2024-1006,5,2024-09-12,2099-12-31,2168.48,0.0,Not Paid,181.0
R-FK-5042,L-FK-2024-1006,6,2024-10-12,2099-12-31,2168.48,0.0,Not Paid,181.0
R-FK-5043,L-FK-2024-1006,7,2024-11-11,2099-12-31,2168.48,0.0,Not Paid,181.0
R-FK-5044,L-FK-2024-1006,8,2024-12-11,2099-12-31,2168.48,0.0,Not Paid,181.0
R-FK-5045,L-FK-2024-1006,9,2025-01-10,2099-12-31,2168.48,0.0,Not Paid,181.0
R-FK-5046,L-FK-2024-1007,1,2024-05-16,2099-12-31,3671.74,0.0,Not Paid,181.0
R-FK-5047,L-FK-2024-1007,2,2024-06-15,2099-12-31,3671.74,0.0,Not Paid,181.0
R-FK-5048,L-FK-2024-1007,3,2024-07-15,2099-12-31,3671.74,0.0,Not Paid,181.0
R-FK-5049,L-FK-2024-1007,4,2024-08-14,2099-12-31,3671.74,0.0,Not Paid,181.0
R-FK-5050,L-FK-2024-1007,5,2024-09-13,2099-12-31,3671.74,0.0,Not Paid,181.0
R-FK-5051,L-FK-2024-1007,6,2024-10-13,2099-12-31,3671.74,0.0,Not Paid,181.0
R-FK-5052,L-FK-2024-1007,7,2024-11-12,2099-12-31,3671.74,0.0,Not Paid,181.0
R-FK-5053,L-FK-2024-1007,8,2024-12-12,2099-12-31,3671.74,0.0,Not Paid,181.0
R-FK-5054,L-FK-2024-1007,9,2025-01-11,2099-12-31,3671.74,0.0,Not Paid,181.0
R-FK-5055,L-FK-2024-1007,10,2025-02-10,2099-12-31,3671.74,0.0,Not Paid,181.0
R-FK-5056,L-FK-2024-1007,11,2025-03-12,2099-12-31,3671.74,0.0,Not Paid,181.0
R-FK-5057,L-FK-2024-1007,12,2025-04-11,2099-12-31,3671.74,0.0,Not Paid,181.0
R-FK-5058,L-FK-2024-1008,1,2024-11-24,2024-11-26,6936.99,6936.99,Upi,2.0
R-FK-5059,L-FK-2024-1008,2,2024-12-24,2024-12-24,6936.99,6936.99,Upi,0.0
R-FK-5060,L-FK-2024-1008,3,2025-01-23,2025-02-26,6936.99,6936.99,Upi,34.0
R-FK-5061,L-FK-2024-1008,4,2025-02-22,2025-02-24,6936.99,6936.99,Auto-Debit,2.0
R-FK-5062,L-FK-2024-1008,5,2025-03-24,2025-03-24,6936.99,6936.99,Upi,0.0
R-FK-5063,L-FK-2024-1008,6,2025-04-23,2025-04-30,6936.99,6936.99,Upi,7.0
R-FK-5064,L-FK-2024-1009,1,2024-08-13,2024-08-05,1759.74,1759.74,Upi,-8.0
R-FK-5065,L-FK-2024-1009,2,2024-09-12,2024-10-27,1759.74,1759.74,Debit Card,45.0
R-FK-5066,L-FK-2024-1009,3,2024-10-12,2024-10-14,1759.74,1759.74,Debit Card,2.0
R-FK-5067,L-FK-2024-1009,4,2024-11-11,2024-11-12,1759.74,1759.74,Net Banking,1.0
R-FK-5068,L-FK-2024-1009,5,2024-12-11,2024-12-11,1759.74,1759.74,Upi,0.0
R-FK-5069,L-FK-2024-1009,6,2025-01-10,2025-01-10,1759.74,1759.74,Auto-Debit,0.0
R-FK-5070,L-FK-2024-1010,1,2024-11-21,2024-11-16,1696.09,1696.09,Cash,-5.0
R-FK-5071,L-FK-2024-1010,2,2024-12-21,2024-12-21,1696.09,1696.09,Auto-Debit,0.0
R-FK-5072,L-FK-2024-1010,3,2025-01-20,2025-01-21,1696.09,1696.09,Net Banking,1.0
R-FK-5073,L-FK-2024-1010,4,2025-02-19,2025-02-13,1696.09,1696.09,Cash,-6.0
R-FK-5074,L-FK-2024-1010,5,2025-03-21,2025-03-22,1696.09,1696.09,Debit Card,1.0
R-FK-5075,L-FK-2024-1010,6,2025-04-20,2025-04-20,1696.09,1696.09,Auto-Debit,0.0
R-FK-5076,L-FK-2024-1010,7,2025-05-20,2025-05-28,1696.09,1696.09,Cash,8.0
R-FK-5077,L-FK-2024-1010,8,2025-06-19,2025-06-21,1696.09,1696.09,Upi,2.0
R-FK-5078,L-FK-2024-1010,9,2025-07-19,2025-07-21,1696.09,1696.09,Auto-Debit,2.0
R-FK-5079,L-FK-2024-1010,10,2025-08-18,2025-08-20,1696.09,1696.09,Upi,2.0
R-FK-5080,L-FK-2024-1010,11,2025-09-17,2025-09-19,1696.09,1696.09,Auto-Debit,2.0
R-FK-5081,L-FK-2024-1010,12,2025-10-17,2025-10-19,1696.09,1696.09,Debit Card,2.0
R-FK-5082,L-FK-2024-1011,1,2024-07-02,2024-06-22,5161.84,5161.84,Upi,-10.0
R-FK-5083,L-FK-2024-1011,2,2024-08-01,2024-08-03,5161.84,5161.84,Upi,2.0
R-FK-5084,L-FK-2024-1011,3,2024-08-31,2024-10-07,5161.84,5161.84,Cash,37.0
R-FK-5085,L-FK-2024-1011,4,2024-09-30,2024-10-01,5161.84,5161.84,Net Banking,1.0
R-FK-5086,L-FK-2024-1011,5,2024-10-30,2024-11-01,5161.84,5161.84,Auto-Debit,2.0
R-FK-5087,L-FK-2024-1011,6,2024-11-29,2024-11-29,5161.84,5161.84,Net Banking,0.0
R-FK-5088,L-FK-2024-1012,1,2024-12-01,2025-01-05,1333.23,775.85,Upi,35.0
R-FK-5089,L-FK-2024-1012,2,2024-12-31,2025-01-02,1333.23,1333.23,Auto-Debit,2.0
R-FK-5090,L-FK-2024-1012,3,2025-01-30,2025-02-01,1333.23,1333.23,Upi,2.0
R-FK-5091,L-FK-2024-1012,4,2025-03-01,2025-02-26,1333.23,1333.23,Upi,-3.0
R-FK-5092,L-FK-2024-1012,5,2025-03-31,2025-05-09,1333.23,1333.23,Upi,39.0
R-FK-5093,L-FK-2024-1012,6,2025-04-30,2025-04-24,1333.23,1333.23,Upi,-6.0
R-FK-5094,L-FK-2024-1013,1,2024-07-21,2099-12-31,6138.15,0.0,Not Paid,181.0
R-FK-5095,L-FK-2024-1013,2,2024-08-20,2099-12-31,6138.15,0.0,Not Paid,181.0
R-FK-5096,L-FK-2024-1013,3,2024-09-19,2099-12-31,6138.15,0.0,Not Paid,181.0
R-FK-5097,L-FK-2024-1013,4,2024-10-19,2099-12-31,6138.15,0.0,Not Paid,181.0
R-FK-5098,L-FK-2024-1013,5,2024-11-18,2099-12-31,6138.15,0.0,Not Paid,181.0
R-FK-5099,L-FK-2024-1013,6,2024-12-18,2099-12-31,6138.15,0.0,Not Paid,181.0
R-FK-5100,L-FK-2024-1014,1,2024-06-16,2099-12-31,4479.8,0.0,Not Paid,181.0
R-FK-5101,L-FK-2024-1014,2,2024-07-16,2099-12-31,4479.8,0.0,Not Paid,181.0
R-FK-5102,L-FK-2024-1014,3,2024-08-15,2099-12-31,4479.8,0.0,Not Paid,181.0
R-FK-5103,L-FK-2024-1014,4,2024-09-14,2099-12-31,4479.8,0.0,Not Paid,181.0
R-FK-5104,L-FK-2024-1014,5,2024-10-14,2099-12-31,4479.8,0.0,Not Paid,181.0
R-FK-5105,L-FK-2024-1014,6,2024-11-13,2099-12-31,4479.8,0.0,Not Paid,181.0
R-FK-5106,L-FK-2024-1015,1,2024-05-26,2099-12-31,1419.73,0.0,Not Paid,181.0
R-FK-5107,L-FK-2024-1015,2,2024-06-25,2099-12-31,1419.73,0.0,Not Paid,181.0
R-FK-5108,L-FK-2024-1015,3,2024-07-25,2099-12-31,1419.73,0.0,Not Paid,181.0
R-FK-5109,L-FK-2024-1015,4,2024-08-24,2099-12-31,1419.73,0.0,Not Paid,181.0
R-FK-5110,L-FK-2024-1015,5,2024-09-23,2099-12-31,1419.73,0.0,Not Paid,181.0
R-FK-5111,L-FK-2024-1015,6,2024-10-23,2099-12-31,1419.73,0.0,Not Paid,181.0
R-FK-5112,L-FK-2024-1015,7,2024-11-22,2099-12-31,1419.73,0.0,Not Paid,181.0
R-FK-5113,L-FK-2024-1015,8,2024-12-22,2099-12-31,1419.73,0.0,Not Paid,181.0
R-FK-5114,L-FK-2024-1015,9,2025-01-21,2099-12-31,1419.73,0.0,Not Paid,181.0
R-FK-5115,L-FK-2024-1016,1,2024-12-07,2024-12-08,5228.35,5228.35,Upi,1.0
R-FK-5116,L-FK-2024-1016,2,2025-01-06,2025-01-07,5228.35,5228.35,Upi,1.0
R-FK-5117,L-FK-2024-1016,3,2025-02-05,2025-02-05,5228.35,5228.35,Auto-Debit,0.0
R-FK-5118,L-FK-2024-1017,1,2025-02-16,2025-02-18,6867.03,6867.03,Cash,2.0
R-FK-5119,L-FK-2024-1017,2,2025-03-18,2025-03-19,6867.03,6867.03,Net Banking,1.0
R-FK-5120,L-FK-2024-1017,3,2025-04-17,2025-04-16,6867.03,6867.03,Upi,-1.0
R-FK-5121,L-FK-2024-1018,1,2025-02-06,2099-12-31,2588.07,0.0,Not Paid,181.0
R-FK-5122,L-FK-2024-1018,2,2025-03-08,2099-12-31,2588.07,0.0,Not Paid,181.0
R-FK-5123,L-FK-2024-1018,3,2025-04-07,2099-12-31,2588.07,0.0,Not Paid,181.0
R-FK-5124,L-FK-2024-1018,4,2025-05-07,2099-12-31,2588.07,0.0,Not Paid,181.0
R-FK-5125,L-FK-2024-1018,5,2025-06-06,2099-12-31,2588.07,0.0,Not Paid,181.0
R-FK-5126,L-FK-2024-1018,6,2025-07-06,2099-12-31,2588.07,0.0,Not Paid,181.0
R-FK-5127,L-FK-2024-1019,1,2024-10-21,2024-10-21,2647.53,2647.53,Auto-Debit,0.0
R-FK-5128,L-FK-2024-1019,2,2024-11-20,2025-01-02,2647.53,2647.53,Cash,43.0
R-FK-5129,L-FK-2024-1019,3,2024-12-20,2024-12-22,2647.53,2647.53,Debit Card,2.0
R-FK-5130,L-FK-2024-1020,1,2024-05-21,2024-06-04,1469.74,1469.74,Net Banking,14.0
R-FK-5131,L-FK-2024-1020,2,2024-06-20,2024-06-22,1469.74,1469.74,Auto-Debit,2.0
R-FK-5132,L-FK-2024-1020,3,2024-07-20,2024-07-22,1469.74,1469.74,Upi,2.0
R-FK-5133,L-FK-2024-1020,4,2024-08-19,2024-08-15,1469.74,1469.74,Debit Card,-4.0
R-FK-5134,L-FK-2024-1020,5,2024-09-18,2024-09-12,1469.74,1469.74,Cash,-6.0
R-FK-5135,L-FK-2024-1020,6,2024-10-18,2024-10-19,1469.74,1469.74,Cash,1.0
R-FK-5136,L-FK-2024-1020,7,2024-11-17,2024-11-07,1469.74,1469.74,Upi,-10.0
R-FK-5137,L-FK-2024-1020,8,2024-12-17,2024-12-28,1469.74,1469.74,Upi,11.0
R-FK-5138,L-FK-2024-1020,9,2025-01-16,2025-01-18,1469.74,1469.74,Auto-Debit,2.0
R-FK-5139,L-FK-2024-1021,1,2025-01-19,2099-12-31,4413.42,0.0,Not Paid,181.0
R-FK-5140,L-FK-2024-1021,2,2025-02-18,2099-12-31,4413.42,0.0,Not Paid,181.0
R-FK-5141,L-FK-2024-1021,3,2025-03-20,2099-12-31,4413.42,0.0,Not Paid,181.0
R-FK-5142,L-FK-2024-1021,4,2025-04-19,2099-12-31,4413.42,0.0,Not Paid,181.0
R-FK-5143,L-FK-2024-1021,5,2025-05-19,2099-12-31,4413.42,0.0,Not Paid,181.0
R-FK-5144,L-FK-2024-1021,6,2025-06-18,2099-12-31,4413.42,0.0,Not Paid,181.0
R-FK-5145,L-FK-2024-1022,1,2024-10-01,2099-12-31,1201.64,0.0,Not Paid,181.0
R-FK-5146,L-FK-2024-1022,2,2024-10-31,2099-12-31,1201.64,0.0,Not Paid,181.0
R-FK-5147,L-FK-2024-1022,3,2024-11-30,2099-12-31,1201.64,0.0,Not Paid,181.0
R-FK-5148,L-FK-2024-1022,4,2024-12-30,2099-12-31,1201.64,0.0,Not Paid,181.0
R-FK-5149,L-FK-2024-1022,5,2025-01-29,2099-12-31,1201.64,0.0,Not Paid,181.0
R-FK-5150,L-FK-2024-1022,6,2025-02-28,2099-12-31,1201.64,0.0,Not Paid,181.0
R-FK-5151,L-FK-2024-1022,7,2025-03-30,2099-12-31,1201.64,0.0,Not Paid,181.0
R-FK-5152,L-FK-2024-1022,8,2025-04-29,2099-12-31,1201.64,0.0,Not Paid,181.0
R-FK-5153,L-FK-2024-1022,9,2025-05-29,2099-12-31,1201.64,0.0,Not Paid,181.0
R-FK-5154,L-FK-2024-1023,1,2024-12-30,2024-12-30,2730.73,2730.73,Upi,0.0
R-FK-5155,L-FK-2024-1023,2,2025-01-29,2025-01-29,2730.73,2730.73,Upi,0.0
R-FK-5156,L-FK-2024-1023,3,2025-02-28,2025-03-10,2730.73,2730.73,Net Banking,10.0
R-FK-5157,L-FK-2024-1023,4,2025-03-30,2025-04-01,2730.73,2730.73,Upi,2.0
R-FK-5158,L-FK-2024-1023,5,2025-04-29,2025-04-21,2730.73,2730.73,Net Banking,-8.0
R-FK-5159,L-FK-2024-1023,6,2025-05-29,2025-05-31,2730.73,2730.73,Upi,2.0
R-FK-5160,L-FK-2024-1023,7,2025-06-28,2025-06-27,2730.73,2730.73,Upi,-1.0
R-FK-5161,L-FK-2024-1023,8,2025-07-28,2025-07-28,2730.73,2730.73,Debit Card,0.0
R-FK-5162,L-FK-2024-1023,9,2025-08-27,2025-09-09,2730.73,1792.24,Debit Card,13.0
R-FK-5163,L-FK-2024-1023,10,2025-09-26,2025-09-26,2730.73,2730.73,Upi,0.0
R-FK-5164,L-FK-2024-1023,11,2025-10-26,2025-10-26,2730.73,2730.73,Debit Card,0.0
