collection_id,loan_id,contact_date,contact_mode,response,promise_to_pay_date,resolved
C-FK-8001,L-FK-2024-1005,22-07-2024,WhatsApp,No Response,,False
C-FK-8002,L-FK-2024-1005,02-08-2024,SMS,No Response,,False
C-FK-8003,L-FK-2024-1005,07-08-2024,Email,Already Paid,,False
C-FK-8004,L-FK-2024-1005,06-08-2024,SMS,No Response,,False
C-FK-8005,L-FK-2024-1005,04-09-2024,Email,Already Paid,,False
C-FK-8006,L-FK-2024-1006,08-06-2024,Email,Promise to Pay,14-06-2024,False
C-FK-8007,L-FK-2024-1007,23-06-2024,Field Visit,Disputed,,False
C-FK-8008,L-FK-2024-1007,29-06-2024,Email,Requested Extension,,False
C-FK-8009,L-FK-2024-1013,02-08-2024,Email,Promise to Pay,12-08-2024,False
C-FK-8010,L-FK-2024-1013,14-08-2024,Field Visit,Promise to Pay,25-08-2024,False
C-FK-8011,L-FK-2024-1013,22-08-2024,Email,Already Paid,,False
C-FK-8012,L-FK-2024-1014,18-06-2024,WhatsApp,No Response,,False
C-FK-8013,L-FK-2024-1014,01-07-2024,WhatsApp,Already Paid,,False
C-FK-8014,L-FK-2024-1014,16-07-2024,Email,Disputed,,False
C-FK-8015,L-FK-2024-1014,24-07-2024,Field Visit,Promise to Pay,02-08-2024,False
C-FK-8016,L-FK-2024-1014,13-08-2024,Email,Already Paid,,False
C-FK-8017,L-FK-2024-1015,23-07-2024,Email,Promise to Pay,06-08-2024,True
C-FK-8018,L-FK-2024-1015,06-08-2024,SMS,No Response,,False
C-FK-8019,L-FK-2024-1015,02-08-2024,Field Visit,Disputed,,False
C-FK-8020,L-FK-2024-1015,13-08-2024,SMS,No Response,,False
C-FK-8021,L-FK-2024-1018,04-03-2025,WhatsApp,No Response,,False
C-FK-8022,L-FK-2024-1018,08-03-2025,Field Visit,No Response,,False
C-FK-8023,L-FK-2024-1018,20-03-2025,Email,Already Paid,,False
C-FK-8024,L-FK-2024-1018,19-03-2025,SMS,Disputed,,False
C-FK-8025,L-FK-2024-1021,21-01-2025,Phone Call,No Response,,False
C-FK-8026,L-FK-2024-1021,03-02-2025,Email,Already Paid,,False
C-FK-8027,L-FK-2024-1021,06-02-2025,SMS,Already Paid,,False
C-FK-8028,L-FK-2024-1021,17-02-2025,Phone Call,No Response,,False
C-FK-8029,L-FK-2024-1021,18-02-2025,SMS,No Response,,False
