repayment_id,loan_id,emi_number,due_date,payment_date,amount_due,amount_paid,payment_mode,days_late
R-FK-5001,L-FK-2024-1001,1,25-02-2025,27-02-2025,971.53,971.53,UPI,2
R-FK-5002,L-FK-2024-1001,2,27-03-2025,13-04-2025,971.53,971.53,Net Banking,17
R-FK-5003,L-FK-2024-1001,3,26-04-2025,18-04-2025,971.53,971.53,Auto-Debit,-8
R-FK-5004,L-FK-2024-1001,4,26-05-2025,19-05-2025,971.53,971.53,UPI,-7
R-FK-5005,L-FK-2024-1001,5,25-06-2025,26-06-2025,971.53,971.53,Auto-Debit,1
R-FK-5006,L-FK-2024-1001,6,25-07-2025,27-07-2025,971.53,971.53,UPI,2
R-FK-5007,L-FK-2024-1001,7,24-08-2025,31-08-2025,971.53,971.53,Debit Card,7
R-FK-5008,L-FK-2024-1001,8,23-09-2025,25-09-2025,971.53,971.53,Cash,2
R-FK-5009,L-FK-2024-1001,9,23-10-2025,24-10-2025,971.53,971.53,Debit Card,1
R-FK-5010,L-FK-2024-1001,10,22-11-2025,23-11-2025,971.53,971.53,Cash,1
R-FK-5011,L-FK-2024-1001,11,22-12-2025,24-12-2025,971.53,971.53,UPI,2
R-FK-5012,L-FK-2024-1001,12,21-01-2026,22-01-2026,971.53,971.53,Net Banking,1
R-FK-5013,L-FK-2024-1002,1,21-01-2025,20-01-2025,10440.62,10440.62,Net Banking,-1
R-FK-5014,L-FK-2024-1002,2,20-02-2025,22-02-2025,10440.62,10440.62,UPI,2
R-FK-5015,L-FK-2024-1002,3,22-03-2025,24-03-2025,10440.62,10440.62,Net Banking,2
R-FK-5016,L-FK-2024-1003,1,21-01-2025,11-02-2025,6250.39,6250.39,UPI,21
R-FK-5017,L-FK-2024-1003,2,20-02-2025,22-02-2025,6250.39,6250.39,Cash,2
R-FK-5018,L-FK-2024-1003,3,22-03-2025,22-03-2025,6250.39,6250.39,Debit Card,0
R-FK-5019,L-FK-2024-1004,1,03-10-2024,15-10-2024,1468.65,591.15,Debit Card,12
R-FK-5020,L-FK-2024-1004,2,02-11-2024,24-10-2024,1468.65,1468.65,Debit Card,-9
R-FK-5021,L-FK-2024-1004,3,02-12-2024,03-12-2024,1468.65,1468.65,UPI,1
R-FK-5022,L-FK-2024-1004,4,01-01-2025,01-01-2025,1468.65,1468.65,Net Banking,0
R-FK-5023,L-FK-2024-1004,5,31-01-2025,12-02-2025,1468.65,749.59,Cash,12
R-FK-5024,L-FK-2024-1004,6,02-03-2025,02-03-2025,1468.65,1468.65,UPI,0
R-FK-5025,L-FK-2024-1004,7,01-04-2025,03-04-2025,1468.65,1468.65,Cash,2
R-FK-5026,L-FK-2024-1004,8,01-05-2025,07-05-2025,1468.65,1468.65,Debit Card,6
R-FK-5027,L-FK-2024-1004,9,31-05-2025,22-05-2025,1468.65,1468.65,UPI,-9
R-FK-5028,L-FK-2024-1005,1,18-07-2024,,4819.98,0.0,,
R-FK-5029,L-FK-2024-1005,2,17-08-2024,,4819.98,0.0,,
R-FK-5030,L-FK-2024-1005,3,16-09-2024,,4819.98,0.0,,
R-FK-5031,L-FK-2024-1005,4,16-10-2024,,4819.98,0.0,,
R-FK-5032,L-FK-2024-1005,5,15-11-2024,,4819.98,0.0,,
R-FK-5033,L-FK-2024-1005,6,15-12-2024,,4819.98,0.0,,
R-FK-5034,L-FK-2024-1005,7,14-01-2025,,4819.98,0.0,,
R-FK-5035,L-FK-2024-1005,8,13-02-2025,,4819.98,0.0,,
R-FK-5036,L-FK-2024-1005,9,15-03-2025,,4819.98,0.0,,
R-FK-5037,L-FK-2024-1006,1,15-05-2024,,2168.48,0.0,,
R-FK-5038,L-FK-2024-1006,2,14-06-2024,,2168.48,0.0,,
R-FK-5039,L-FK-2024-1006,3,14-07-2024,,2168.48,0.0,,
R-FK-5040,L-FK-2024-1006,4,13-08-2024,,2168.48,0.0,,
R-FK-5041,L-FK-2024-1006,5,12-09-2024,,2168.48,0.0,,
R-FK-5042,L-FK-2024-1006,6,12-10-2024,,2168.48,0.0,,
R-FK-5043,L-FK-2024-1006,7,11-11-2024,,2168.48,0.0,,
R-FK-5044,L-FK-2024-1006,8,11-12-2024,,2168.48,0.0,,
R-FK-5045,L-FK-2024-1006,9,10-01-2025,,2168.48,0.0,,
R-FK-5046,L-FK-2024-1007,1,16-05-2024,,3671.74,0.0,,
R-FK-5047,L-FK-2024-1007,2,15-06-2024,,3671.74,0.0,,
R-FK-5048,L-FK-2024-1007,3,15-07-2024,,3671.74,0.0,,
R-FK-5049,L-FK-2024-1007,4,14-08-2024,,3671.74,0.0,,
R-FK-5050,L-FK-2024-1007,5,13-09-2024,,3671.74,0.0,,
R-FK-5051,L-FK-2024-1007,6,13-10-2024,,3671.74,0.0,,
R-FK-5052,L-FK-2024-1007,7,12-11-2024,,3671.74,0.0,,
R-FK-5053,L-FK-2024-1007,8,12-12-2024,,3671.74,0.0,,
R-FK-5054,L-FK-2024-1007,9,11-01-2025,,3671.74,0.0,,
R-FK-5055,L-FK-2024-1007,10,10-02-2025,,3671.74,0.0,,
R-FK-5056,L-FK-2024-1007,11,12-03-2025,,3671.74,0.0,,
R-FK-5057,L-FK-2024-1007,12,11-04-2025,,3671.74,0.0,,
R-FK-5058,L-FK-2024-1008,1,24-11-2024,26-11-2024,6936.99,6936.99,UPI,2
R-FK-5059,L-FK-2024-1008,2,24-12-2024,24-12-2024,6936.99,6936.99,UPI,0
R-FK-5060,L-FK-2024-1008,3,23-01-2025,26-02-2025,6936.99,6936.99,UPI,34
R-FK-5061,L-FK-2024-1008,4,22-02-2025,24-02-2025,6936.99,6936.99,Auto-Debit,2
R-FK-5062,L-FK-2024-1008,5,24-03-2025,24-03-2025,6936.99,6936.99,UPI,0
R-FK-5063,L-FK-2024-1008,6,23-04-2025,30-04-2025,6936.99,6936.99,UPI,7
R-FK-5064,L-FK-2024-1009,1,13-08-2024,05-08-2024,1759.74,1759.74,UPI,-8
R-FK-5065,L-FK-2024-1009,2,12-09-2024,27-10-2024,1759.74,1759.74,Debit Card,45
R-FK-5066,L-FK-2024-1009,3,12-10-2024,14-10-2024,1759.74,1759.74,Debit Card,2
R-FK-5067,L-FK-2024-1009,4,11-11-2024,12-11-2024,1759.74,1759.74,Net Banking,1
R-FK-5068,L-FK-2024-1009,5,11-12-2024,11-12-2024,1759.74,1759.74,UPI,0
R-FK-5069,L-FK-2024-1009,6,10-01-2025,10-01-2025,1759.74,1759.74,Auto-Debit,0
R-FK-5070,L-FK-2024-1010,1,21-11-2024,16-11-2024,1696.09,1696.09,Cash,-5
R-FK-5071,L-FK-2024-1010,2,21-12-2024,21-12-2024,1696.09,1696.09,Auto-Debit,0
R-FK-5072,L-FK-2024-1010,3,20-01-2025,21-01-2025,1696.09,1696.09,Net Banking,1
R-FK-5073,L-FK-2024-1010,4,19-02-2025,13-02-2025,1696.09,1696.09,Cash,-6
R-FK-5074,L-FK-2024-1010,5,21-03-2025,22-03-2025,1696.09,1696.09,Debit Card,1
R-FK-5075,L-FK-2024-1010,6,20-04-2025,20-04-2025,1696.09,1696.09,Auto-Debit,0
R-FK-5076,L-FK-2024-1010,7,20-05-2025,28-05-2025,1696.09,1696.09,Cash,8
R-FK-5077,L-FK-2024-1010,8,19-06-2025,21-06-2025,1696.09,1696.09,UPI,2
R-FK-5078,L-FK-2024-1010,9,19-07-2025,21-07-2025,1696.09,1696.09,Auto-Debit,2
R-FK-5079,L-FK-2024-1010,10,18-08-2025,20-08-2025,1696.09,1696.09,UPI,2
R-FK-5080,L-FK-2024-1010,11,17-09-2025,19-09-2025,1696.09,1696.09,Auto-Debit,2
R-FK-5081,L-FK-2024-1010,12,17-10-2025,19-10-2025,1696.09,1696.09,Debit Card,2
R-FK-5082,L-FK-2024-1011,1,02-07-2024,22-06-2024,5161.84,5161.84,UPI,-10
R-FK-5083,L-FK-2024-1011,2,01-08-2024,03-08-2024,5161.84,5161.84,UPI,2
R-FK-5084,L-FK-2024-1011,3,31-08-2024,07-10-2024,5161.84,5161.84,Cash,37
R-FK-5085,L-FK-2024-1011,4,30-09-2024,01-10-2024,5161.84,5161.84,Net Banking,1
R-FK-5086,L-FK-2024-1011,5,30-10-2024,01-11-2024,5161.84,5161.84,Auto-Debit,2
R-FK-5087,L-FK-2024-1011,6,29-11-2024,29-11-2024,5161.84,5161.84,Net Banking,0
R-FK-5088,L-FK-2024-1012,1,01-12-2024,05-01-2025,1333.23,775.85,UPI,35
R-FK-5089,L-FK-2024-1012,2,31-12-2024,02-01-2025,1333.23,1333.23,Auto-Debit,2
R-FK-5090,L-FK-2024-1012,3,30-01-2025,01-02-2025,1333.23,1333.23,UPI,2
R-FK-5091,L-FK-2024-1012,4,01-03-2025,26-02-2025,1333.23,1333.23,UPI,-3
R-FK-5092,L-FK-2024-1012,5,31-03-2025,09-05-2025,1333.23,1333.23,UPI,39
R-FK-5093,L-FK-2024-1012,6,30-04-2025,24-04-2025,1333.23,1333.23,UPI,-6
R-FK-5094,L-FK-2024-1013,1,21-07-2024,,6138.15,0.0,,
R-FK-5095,L-FK-2024-1013,2,20-08-2024,,6138.15,0.0,,
R-FK-5096,L-FK-2024-1013,3,19-09-2024,,6138.15,0.0,,
R-FK-5097,L-FK-2024-1013,4,19-10-2024,,6138.15,0.0,,
R-FK-5098,L-FK-2024-1013,5,18-11-2024,,6138.15,0.0,,
